date;time;Energy total(kWh);Temperature (°C);Price (Spot)
2022-01-01;00:00;4,63;-2,5;3.69
2022-01-01;01:00;6,00;-3,3;5.78
2022-01-01;02:00;5,06;-3,2;5.12
2022-01-01;03:00;4,25;-3,5;5.23
2022-01-01;04:00;4,40;-3,3;5.5
2022-01-01;05:00;4,47;-2,9;4.67
2022-01-01;06:00;1,31;-2,8;4.92
2022-01-01;07:00;1,05;-3,0;5.03
2022-01-01;08:00;1,33;-4,3;5.36
2022-01-01;09:00;1,68;-5,1;6.16
2022-01-01;10:00;1,69;-5,6;8.12
2022-01-01;11:00;1,10;-5,9;9.49
2022-01-01;12:00;1,30;-5,9;10.37
2022-01-01;13:00;3,25;-5,6;11.75
2022-01-01;14:00;2,23;-5,4;11.66
2022-01-01;15:00;5,10;-6,1;12.05
2022-01-01;16:00;5,57;-7,9;12.56
2022-01-01;17:00;4,92;-8,8;15.7
2022-01-01;18:00;3,96;-9,7;18.6
2022-01-01;19:00;3,58;-10,7;18.14
2022-01-01;20:00;2,49;-11,7;17.39
2022-01-01;21:00;3,32;-12,0;15.11
2022-01-01;22:00;11,93;-12,4;12.72
2022-01-01;23:00;7,29;-11,9;12.09
2022-01-02;00:00;3,50;-11,0;10.56
2022-01-02;01:00;5,53;-10,2;7.08
2022-01-02;02:00;6,12;-9,2;6.83
2022-01-02;03:00;6,36;-7,9;6.55
2022-01-02;04:00;6,64;-7,1;4.33
2022-01-02;05:00;6,99;-6,5;3.67
2022-01-02;06:00;5,29;-5,8;6.57
2022-01-02;07:00;1,98;-4,9;4.28
2022-01-02;08:00;1,09;-4,2;5.18
2022-01-02;09:00;2,77;-3,9;6.07
2022-01-02;10:00;2,50;-3,6;7.44
2022-01-02;11:00;1,55;-3,5;8.69
2022-01-02;12:00;1,32;-3,1;8.22
2022-01-02;13:00;2,31;-2,8;8.0
2022-01-02;14:00;3,06;-2,6;5.82
2022-01-02;15:00;4,01;-2,4;8.08
2022-01-02;16:00;6,40;-2,3;9.3
2022-01-02;17:00;2,65;-2,4;10.93
2022-01-02;18:00;3,73;-2,6;11.83
2022-01-02;19:00;5,18;-2,8;10.75
2022-01-02;20:00;4,11;-2,9;8.84
2022-01-02;21:00;4,13;-2,8;6.71
2022-01-02;22:00;5,20;-2,7;5.72
2022-01-02;23:00;10,14;-2,6;5.74
2022-01-03;00:00;3,80;-2,4;4.08
2022-01-03;01:00;5,22;-2,3;2.59
2022-01-03;02:00;6,32;-2,2;2.47
2022-01-03;03:00;5,21;-1,8;2.46
2022-01-03;04:00;4,00;-1,9;2.46
2022-01-03;05:00;5,28;-1,7;2.51
2022-01-03;06:00;5,38;-1,5;3.64
2022-01-03;07:00;4,75;-1,6;9.92
2022-01-03;08:00;4,11;-1,5;13.25
2022-01-03;09:00;3,37;-1,5;15.24
2022-01-03;10:00;1,03;-1,4;13.66
2022-01-03;11:00;0,48;-1,4;12.65
2022-01-03;12:00;0,65;-1,3;12.7
2022-01-03;13:00;1,13;-1,3;13.15
2022-01-03;14:00;1,79;-1,4;13.65
2022-01-03;15:00;1,10;-1,4;12.64
2022-01-03;16:00;1,20;-1,4;12.16
